"PERIOD","ITEM","VALUE"
1979,"A_S1_KASSENLIQU_BESTAND",7608
1979,"A_S1_KASSENLIQU_GUTHOENB",32580
1979,"A_S1_INTBANK_GUTHABEN",306671
1979,"A_S1_INTBANK_KRED",97735
1979,"A_S1_INLWPERGAENZKAP_BUNDSCHATZ",22973
1979,"A_S1_INLWPERGAENZKAP_SONSTWP",148036
1979,"A_S1_INLWPERGAENZKAP_ANTEILSWERTE",7662
1979,"A_S1_INLWPERGAENZKAP_TOT",178669
1979,"A_S1_INLWPERGAENZKAP_DAVONERGAENZUNGSKAP",NA
1979,"A_S1_DIREKTKREDINLNB_WECHSEL",58619
1979,"A_S1_DIREKTKREDINLNB_HYPOTHEKKOMMUNAL",209463
1979,"A_S1_DIREKTKREDINLNB_SONSTIGEATS",396173
1979,"A_S1_DIREKTKREDINLNB_WECHSEL.HYPOTHEKKOMMUNAL.SONSTIGEATS",664256
1979,"A_S1_DIREKTKREDINLNB_DIREKTKREDFX",21142
1979,"A_S1_DIREKTKREDINLNB_TOT",685398
1979,"A_S1_BETKONSORT_TOT",9968
1979,"A_S1_BETKONSORT_DAVONPARTIZIPKAP",NA
1979,"A_S1_OTHER",72983
1979,"A_S1_TOT",1391613
1979,"A_S2_KASSENBESTFX",1518
1979,"A_S2_INTBNK_GUTHABEN",124063
1979,"A_S2_INTBNK_KRED",44494
1979,"A_S2_AUSLWPBETKONSORT",8558
1979,"A_S2_KREDAUSLNB",57140
1979,"A_S2_OTHER",6705
1979,"A_S2_TOT",242478
1979,"A_TOT",1622057
1979,"L_S1_INTBNK",435449
1979,"L_S1_EINLINLNB_SICHT",73614
1979,"L_S1_EINLINLNB_TERMIN",90800
1979,"L_S1_EINLINLNB_SPAR",471751
1979,"L_S1_EINLINLNB_SICHT.TERMIN.SPAR",636165
1979,"L_S1_EINLINLNB_FX",6685
1979,"L_S1_EINLINLNB_TOT",642850
1979,"L_S1_EIGENEINLEMISSIONEN",175898
1979,"L_S1_NOMINALKAPINLAENDER",10274
1979,"L_S1_RUECKLAG",26524
1979,"L_S1_HAFTRUECKLAGE",10501
1979,"L_S1_PARTIZIPKAPINLAENDER",NA
1979,"L_S1_ERGAENZKAPINLAENDER",NA
1979,"L_S1_OTHER",66953
1979,"L_S1_TOT",1364451
1979,"L_S2_INTBNK",208179
1979,"L_S2_EINLAUSLNB",12550
1979,"L_S2_EIGENEAUSLEMISSIONEN",29720
1979,"L_S2_NOMINALKAPAUSLAENDER",784
1979,"L_S2_PARTIZIPKAPAUSLAENDER",NA
1979,"L_S2_ERGAENZUNGSKAPAUSLAENDER",NA
1979,"L_S2_OTHER",6372
1979,"L_S2_TOT",257606
1979,"L_TOT",1622057
1980,"A_S1_KASSENLIQU_BESTAND",8127
1980,"A_S1_KASSENLIQU_GUTHOENB",35261
1980,"A_S1_INTBANK_GUTHABEN",302104
1980,"A_S1_INTBANK_KRED",132932
1980,"A_S1_INLWPERGAENZKAP_BUNDSCHATZ",28405
1980,"A_S1_INLWPERGAENZKAP_SONSTWP",167062
1980,"A_S1_INLWPERGAENZKAP_ANTEILSWERTE",8810
1980,"A_S1_INLWPERGAENZKAP_TOT",204277
1980,"A_S1_INLWPERGAENZKAP_DAVONERGAENZUNGSKAP",NA
1980,"A_S1_DIREKTKREDINLNB_WECHSEL",57178
1980,"A_S1_DIREKTKREDINLNB_HYPOTHEKKOMMUNAL",235055
1980,"A_S1_DIREKTKREDINLNB_SONSTIGEATS",449824
1980,"A_S1_DIREKTKREDINLNB_WECHSEL.HYPOTHEKKOMMUNAL.SONSTIGEATS",741057
1980,"A_S1_DIREKTKREDINLNB_DIREKTKREDFX",31441
1980,"A_S1_DIREKTKREDINLNB_TOT",773499
1980,"A_S1_BETKONSORT_TOT",12663
1980,"A_S1_BETKONSORT_DAVONPARTIZIPKAP",NA
1980,"A_S1_OTHER",86472
1980,"A_S1_TOT",1555334
1980,"A_S2_KASSENBESTFX",1547
1980,"A_S2_INTBNK_GUTHABEN",146838
1980,"A_S2_INTBNK_KRED",63065
1980,"A_S2_AUSLWPBETKONSORT",10491
1980,"A_S2_KREDAUSLNB",77163
1980,"A_S2_OTHER",14621
1980,"A_S2_TOT",313725
1980,"A_TOT",1859236
1980,"L_S1_INTBNK",449390
1980,"L_S1_EINLINLNB_SICHT",83567
1980,"L_S1_EINLINLNB_TERMIN",79633
1980,"L_S1_EINLINLNB_SPAR",543822
1980,"L_S1_EINLINLNB_SICHT.TERMIN.SPAR",707022
1980,"L_S1_EINLINLNB_FX",9185
1980,"L_S1_EINLINLNB_TOT",716207
1980,"L_S1_EIGENEINLEMISSIONEN",200562
1980,"L_S1_NOMINALKAPINLAENDER",11325
1980,"L_S1_RUECKLAG",28072
1980,"L_S1_HAFTRUECKLAGE",12150
1980,"L_S1_PARTIZIPKAPINLAENDER",NA
1980,"L_S1_ERGAENZKAPINLAENDER",NA
1980,"L_S1_OTHER",79180
1980,"L_S1_TOT",1496887
1980,"L_S2_INTBNK",288960
1980,"L_S2_EINLAUSLNB",15728
1980,"L_S2_EIGENEAUSLEMISSIONEN",42320
1980,"L_S2_NOMINALKAPAUSLAENDER",893
1980,"L_S2_PARTIZIPKAPAUSLAENDER",NA
1980,"L_S2_ERGAENZUNGSKAPAUSLAENDER",NA
1980,"L_S2_OTHER",14448
1980,"L_S2_TOT",362350
1980,"L_TOT",1859236
1981,"A_S1_KASSENLIQU_BESTAND",7762
1981,"A_S1_KASSENLIQU_GUTHOENB",41174
1981,"A_S1_INTBANK_GUTHABEN",344200
1981,"A_S1_INTBANK_KRED",161160
1981,"A_S1_INLWPERGAENZKAP_BUNDSCHATZ",27787
1981,"A_S1_INLWPERGAENZKAP_SONSTWP",172687
1981,"A_S1_INLWPERGAENZKAP_ANTEILSWERTE",8956
1981,"A_S1_INLWPERGAENZKAP_TOT",209430
1981,"A_S1_INLWPERGAENZKAP_DAVONERGAENZUNGSKAP",NA
1981,"A_S1_DIREKTKREDINLNB_WECHSEL",58064
1981,"A_S1_DIREKTKREDINLNB_HYPOTHEKKOMMUNAL",268548
1981,"A_S1_DIREKTKREDINLNB_SONSTIGEATS",505205
1981,"A_S1_DIREKTKREDINLNB_WECHSEL.HYPOTHEKKOMMUNAL.SONSTIGEATS",831917
1981,"A_S1_DIREKTKREDINLNB_DIREKTKREDFX",35788
1981,"A_S1_DIREKTKREDINLNB_TOT",867605
1981,"A_S1_BETKONSORT_TOT",15416
1981,"A_S1_BETKONSORT_DAVONPARTIZIPKAP",NA
1981,"A_S1_OTHER",102144
1981,"A_S1_TOT",1748891
1981,"A_S2_KASSENBESTFX",1506
1981,"A_S2_INTBNK_GUTHABEN",165094
1981,"A_S2_INTBNK_KRED",84559
1981,"A_S2_AUSLWPBETKONSORT",12274
1981,"A_S2_KREDAUSLNB",97579
1981,"A_S2_OTHER",20916
1981,"A_S2_TOT",381929
1981,"A_TOT",2121298
1981,"L_S1_INTBNK",527797
1981,"L_S1_EINLINLNB_SICHT",76719
1981,"L_S1_EINLINLNB_TERMIN",89386
1981,"L_S1_EINLINLNB_SPAR",618928
1981,"L_S1_EINLINLNB_SICHT.TERMIN.SPAR",785033
1981,"L_S1_EINLINLNB_FX",11594
1981,"L_S1_EINLINLNB_TOT",796627
1981,"L_S1_EIGENEINLEMISSIONEN",211245
1981,"L_S1_NOMINALKAPINLAENDER",11720
1981,"L_S1_RUECKLAG",28930
1981,"L_S1_HAFTRUECKLAGE",14459
1981,"L_S1_PARTIZIPKAPINLAENDER",NA
1981,"L_S1_ERGAENZKAPINLAENDER",NA
1981,"L_S1_OTHER",94322
1981,"L_S1_TOT",1685101
1981,"L_S2_INTBNK",330400
1981,"L_S2_EINLAUSLNB",21208
1981,"L_S2_EIGENEAUSLEMISSIONEN",62894
1981,"L_S2_NOMINALKAPAUSLAENDER",1055
1981,"L_S2_PARTIZIPKAPAUSLAENDER",NA
1981,"L_S2_ERGAENZUNGSKAPAUSLAENDER",NA
1981,"L_S2_OTHER",20641
1981,"L_S2_TOT",436197
1981,"L_TOT",2121298
1982,"A_S1_KASSENLIQU_BESTAND",8223
1982,"A_S1_KASSENLIQU_GUTHOENB",42462
1982,"A_S1_INTBANK_GUTHABEN",413946
1982,"A_S1_INTBANK_KRED",154725
1982,"A_S1_INLWPERGAENZKAP_BUNDSCHATZ",40880
1982,"A_S1_INLWPERGAENZKAP_SONSTWP",190549
1982,"A_S1_INLWPERGAENZKAP_ANTEILSWERTE",9878
1982,"A_S1_INLWPERGAENZKAP_TOT",241307
1982,"A_S1_INLWPERGAENZKAP_DAVONERGAENZUNGSKAP",NA
1982,"A_S1_DIREKTKREDINLNB_WECHSEL",63357
1982,"A_S1_DIREKTKREDINLNB_HYPOTHEKKOMMUNAL",291195
1982,"A_S1_DIREKTKREDINLNB_SONSTIGEATS",535764
1982,"A_S1_DIREKTKREDINLNB_WECHSEL.HYPOTHEKKOMMUNAL.SONSTIGEATS",890315
1982,"A_S1_DIREKTKREDINLNB_DIREKTKREDFX",44387
1982,"A_S1_DIREKTKREDINLNB_TOT",934702
1982,"A_S1_BETKONSORT_TOT",15996
1982,"A_S1_BETKONSORT_DAVONPARTIZIPKAP",NA
1982,"A_S1_OTHER",105917
1982,"A_S1_TOT",1917279
1982,"A_S2_KASSENBESTFX",1300
1982,"A_S2_INTBNK_GUTHABEN",183075
1982,"A_S2_INTBNK_KRED",103704
1982,"A_S2_AUSLWPBETKONSORT",13243
1982,"A_S2_KREDAUSLNB",128765
1982,"A_S2_OTHER",23468
1982,"A_S2_TOT",453555
1982,"A_TOT",2358461
1982,"L_S1_INTBNK",591840
1982,"L_S1_EINLINLNB_SICHT",87707
1982,"L_S1_EINLINLNB_TERMIN",98465
1982,"L_S1_EINLINLNB_SPAR",892981
1982,"L_S1_EINLINLNB_SICHT.TERMIN.SPAR",879153
1982,"L_S1_EINLINLNB_FX",13509
1982,"L_S1_EINLINLNB_TOT",892662
1982,"L_S1_EIGENEINLEMISSIONEN",233481
1982,"L_S1_NOMINALKAPINLAENDER",12304
1982,"L_S1_RUECKLAG",30851
1982,"L_S1_HAFTRUECKLAGE",16366
1982,"L_S1_PARTIZIPKAPINLAENDER",NA
1982,"L_S1_ERGAENZKAPINLAENDER",NA
1982,"L_S1_OTHER",102146
1982,"L_S1_TOT",1879651
1982,"L_S2_INTBNK",355032
1982,"L_S2_EINLAUSLNB",28919
1982,"L_S2_EIGENEAUSLEMISSIONEN",73562
1982,"L_S2_NOMINALKAPAUSLAENDER",1103
