"PERIOD","ITEM","VALUE"
1984,"A_F11",39441
1984,"A_DEVISEN",79165
1984,"A_F12",4851
1984,"A_IMF_BET_TOT",16763
1984,"A_IMF_BET_NICHTABBERUFTEILQUOT",8116
1984,"A_IMF_BET_EFFEKTZAHLUNG",8647
1984,"A_IMF_OTH",1017
1984,"A_F4_S2_S121",814
1984,"A_SCHEIDEMUENZ",600
1984,"A_ESKONTWECHSEL",22958
1984,"A_ESKONTERPWECHSEL",6917
1984,"A_DARLEHENPFAND",23184
1984,"A_WPOFFENMARKT",13075
1984,"A_FORDBUNDESSCHATZ",2820
1984,"A_OTHER",15490
1984,"A_TOT",218979
1984,"L_GRUNDKAPRESERVEN",63777
1984,"L_F21",89890
1984,"L_F22_S1_S122",44295
1984,"L_F22_S2_BANKENUNDWAEHRUNGSINSTITUTIONEN",1147
1984,"L_F22_S1_OEFFENTLSTELLENUNDSONSTINL",3399
1984,"L_F22_TOT",48841
1984,"L_F21.L_F22_TOT",138731
1984,"L_IMF_AUSGLPOSTSDR",3870
1984,"L_OTHER",12601
1985,"A_F11",39444
1985,"A_DEVISEN",71039
1985,"A_F12",3639
1985,"A_IMF_BET_TOT",14764
1985,"A_IMF_BET_NICHTABBERUFTEILQUOT",7827
1985,"A_IMF_BET_EFFEKTZAHLUNG",6937
1985,"A_IMF_OTH",776
1985,"A_F4_S2_S121",596
1985,"A_SCHEIDEMUENZ",849
1985,"A_ESKONTWECHSEL",23084
1985,"A_ESKONTERPWECHSEL",7127
1985,"A_DARLEHENPFAND",11529
1985,"A_WPOFFENMARKT",30374
1985,"A_FORDBUNDESSCHATZ",2093
1985,"A_OTHER",16122
1985,"A_TOT",213609
1985,"L_GRUNDKAPRESERVEN",60274
1985,"L_F21",90485
1985,"L_F22_S1_S122",45413
1985,"L_F22_S2_BANKENUNDWAEHRUNGSINSTITUTIONEN",429
1985,"L_F22_S1_OEFFENTLSTELLENUNDSONSTINL",775
1985,"L_F22_TOT",46617
1985,"L_F21.L_F22_TOT",137102
1985,"L_IMF_AUSGLPOSTSDR",3408
1985,"L_OTHER",12825
1986,"A_F11",39456
1986,"A_DEVISEN",75513
1986,"A_F12",2546
1986,"A_IMF_BET_TOT",13007
1986,"A_IMF_BET_NICHTABBERUFTEILQUOT",7482
1986,"A_IMF_BET_EFFEKTZAHLUNG",5525
1986,"A_IMF_OTH",537
1986,"A_F4_S2_S121",423
1986,"A_SCHEIDEMUENZ",972
1986,"A_ESKONTWECHSEL",23444
1986,"A_ESKONTERPWECHSEL",7547
1986,"A_DARLEHENPFAND",5503
1986,"A_WPOFFENMARKT",40409
1986,"A_FORDBUNDESSCHATZ",1200
1986,"A_OTHER",17163
1986,"A_TOT",220238
1986,"L_GRUNDKAPRESERVEN",57984
1986,"L_F21",93900
1986,"L_F22_S1_S122",51855
1986,"L_F22_S2_BANKENUNDWAEHRUNGSINSTITUTIONEN",507
1986,"L_F22_S1_OEFFENTLSTELLENUNDSONSTINL",643
1986,"L_F22_TOT",53005
1986,"L_F21.L_F22_TOT",146905
1986,"L_IMF_AUSGLPOSTSDR",3003
1986,"L_OTHER",12346
1987,"A_F11",39463
1987,"A_DEVISEN",75428
1987,"A_F12",3284
1987,"A_IMF_BET_TOT",12379
1987,"A_IMF_BET_NICHTABBERUFTEILQUOT",7423
1987,"A_IMF_BET_EFFEKTZAHLUNG",4956
1987,"A_IMF_OTH",311
1987,"A_F4_S2_S121",302
1987,"A_SCHEIDEMUENZ",985
1987,"A_ESKONTWECHSEL",26529
1987,"A_ESKONTERPWECHSEL",7870
1987,"A_DARLEHENPFAND",2005
1987,"A_WPOFFENMARKT",35395
1987,"A_FORDBUNDESSCHATZ",580
1987,"A_OTHER",17463
1987,"A_TOT",214571
1987,"L_GRUNDKAPRESERVEN",57888
1987,"L_F21",98387
1987,"L_F22_S1_S122",43047
1987,"L_F22_S2_BANKENUNDWAEHRUNGSINSTITUTIONEN",343
1987,"L_F22_S1_OEFFENTLSTELLENUNDSONSTINL",217
1987,"L_F22_TOT",43607
1987,"L_F21.L_F22_TOT",141994
1987,"L_IMF_AUSGLPOSTSDR",2858
1987,"L_OTHER",11831
1988,"A_F11",39463
1988,"A_DEVISEN",83905
1988,"A_F12",3373
1988,"A_IMF_BET_TOT",13114
1988,"A_IMF_BET_NICHTABBERUFTEILQUOT",8398
1988,"A_IMF_BET_EFFEKTZAHLUNG",4716
1988,"A_IMF_OTH",1182
1988,"A_F4_S2_S121",300
1988,"A_SCHEIDEMUENZ",1055
1988,"A_ESKONTWECHSEL",30029
1988,"A_ESKONTERPWECHSEL",7958
1988,"A_DARLEHENPFAND",2550
1988,"A_WPOFFENMARKT",29702
1988,"A_FORDBUNDESSCHATZ",410
1988,"A_OTHER",18551
1988,"A_TOT",223194
1988,"L_GRUNDKAPRESERVEN",64955
1988,"L_F21",103725
1988,"L_F22_S1_S122",39215
1988,"L_F22_S2_BANKENUNDWAEHRUNGSINSTITUTIONEN",186
1988,"L_F22_S1_OEFFENTLSTELLENUNDSONSTINL",158
1988,"L_F22_TOT",39559
1988,"L_F21.L_F22_TOT",143284
1988,"L_IMF_AUSGLPOSTSDR",3027
1988,"L_OTHER",11928
1989,"A_F11",38552
1989,"A_DEVISEN",94296
1989,"A_F12",3526
1989,"A_IMF_BET_TOT",12043
1989,"A_IMF_BET_NICHTABBERUFTEILQUOT",7840
1989,"A_IMF_BET_EFFEKTZAHLUNG",4203
1989,"A_IMF_OTH",989
1989,"A_F4_S2_S121",259
1989,"A_SCHEIDEMUENZ",1278
1989,"A_ESKONTWECHSEL",27348
1989,"A_ESKONTERPWECHSEL",8767
1989,"A_DARLEHENPFAND",440
1989,"A_WPOFFENMARKT",38883
1989,"A_FORDBUNDESSCHATZ",371
1989,"A_OTHER",19458
1989,"A_TOT",238371
1989,"L_GRUNDKAPRESERVEN",57790
1989,"L_F21",112761
1989,"L_F22_S1_S122",50601
1989,"L_F22_S2_BANKENUNDWAEHRUNGSINSTITUTIONEN",242
1989,"L_F22_S1_OEFFENTLSTELLENUNDSONSTINL",271
1989,"L_F22_TOT",51114
1989,"L_F21.L_F22_TOT",163875
1989,"L_IMF_AUSGLPOSTSDR",2780
1989,"L_OTHER",13925
