"PERIOD","ITEM","VALUE"
"81","Gold",39.397
"81","Other.FX",76.13
"81","SDR",3.434
"81","Eff.claims.from.share.in.IMF",3.341
"81","Other.claims.on.IMF",0.801
"81","Claims.against.foreign.central.banks",0.633
"81","Coins",0.531
"81","Other.bills.of.exchange",9.522
"81","ERP.bills.of.exchange",6.965
"81","Claims.from.loans.ag.collateral",14.696
"81","Securities.from.OMOs",11.125
"81","Claims.ag.Bundesschatz",2.044
"81","Other.assets",9.616
"82","Gold",39.411
"82","Other.FX",79.274
"82","SDR",4.169
"82","Eff.claims.from.share.in.IMF",3.998
"82","Other.claims.on.IMF",0.765
"82","Claims.against.foreign.central.banks",0.665
"82","Coins",0.527
"82","Other.bills.of.exchange",12.373
"82","ERP.bills.of.exchange",8.72
"82","Claims.from.loans.ag.collateral",12.822
"82","Securities.from.OMOs",12.264
"82","Claims.ag.Bundesschatz",2.231
"82","Other.assets",12.013
"83","Gold",39.428
"83","Other.FX",74.752
"83","SDR",3.119
"83","Eff.claims.from.share.in.IMF",8.041
"83","Other.claims.on.IMF",1.012
"83","Claims.against.foreign.central.banks",0.752
"83","Coins",0.459
"83","Other.bills.of.exchange",21.055
"83","ERP.bills.of.exchange",6.913
"83","Claims.from.loans.ag.collateral",22.019
"83","Securities.from.OMOs",12.624
"83","Claims.ag.Bundesschatz",2.573
"83","Other.assets",13.89
"84","Gold",39.441
"84","Other.FX",79.165
"84","SDR",4.851
"84","Eff.claims.from.share.in.IMF",8.647
"84","Other.claims.on.IMF",1.017
"84","Claims.against.foreign.central.banks",0.814
"84","Coins",0.6
"84","Other.bills.of.exchange",22.958
"84","ERP.bills.of.exchange",6.917
"84","Claims.from.loans.ag.collateral",23.184
"84","Securities.from.OMOs",13.075
"84","Claims.ag.Bundesschatz",2.82
"84","Other.assets",15.49
"85","Gold",39.444
"85","Other.FX",71.039
"85","SDR",3.639
"85","Eff.claims.from.share.in.IMF",6.937
"85","Other.claims.on.IMF",0.776
"85","Claims.against.foreign.central.banks",0.596
"85","Coins",0.849
"85","Other.bills.of.exchange",23.084
"85","ERP.bills.of.exchange",7.127
"85","Claims.from.loans.ag.collateral",11.529
"85","Securities.from.OMOs",30.374
"85","Claims.ag.Bundesschatz",2.093
"85","Other.assets",16.122
"86","Gold",39.456
"86","Other.FX",75.513
"86","SDR",2.546
"86","Eff.claims.from.share.in.IMF",5.525
"86","Other.claims.on.IMF",0.537
"86","Claims.against.foreign.central.banks",0.423
"86","Coins",0.972
"86","Other.bills.of.exchange",23.444
"86","ERP.bills.of.exchange",7.547
"86","Claims.from.loans.ag.collateral",5.503
"86","Securities.from.OMOs",40.409
"86","Claims.ag.Bundesschatz",1.2
"86","Other.assets",17.163
"87","Gold",39.463
"87","Other.FX",75.428
"87","SDR",3.284
"87","Eff.claims.from.share.in.IMF",4.956
"87","Other.claims.on.IMF",0.311
"87","Claims.against.foreign.central.banks",0.302
"87","Coins",0.985
"87","Other.bills.of.exchange",26.529
"87","ERP.bills.of.exchange",7.87
"87","Claims.from.loans.ag.collateral",2.005
"87","Securities.from.OMOs",35.395
"87","Claims.ag.Bundesschatz",0.58
"87","Other.assets",17.463
"88","Gold",39.463
"88","Other.FX",83.905
"88","SDR",3.373
"88","Eff.claims.from.share.in.IMF",4.716
"88","Other.claims.on.IMF",1.182
"88","Claims.against.foreign.central.banks",0.3
"88","Coins",1.055
"88","Other.bills.of.exchange",30.029
"88","ERP.bills.of.exchange",7.958
"88","Claims.from.loans.ag.collateral",2.55
"88","Securities.from.OMOs",29.702
"88","Claims.ag.Bundesschatz",0.41
"88","Other.assets",18.551
"89","Gold",38.552
"89","Other.FX",94.296
"89","SDR",3.526
"89","Eff.claims.from.share.in.IMF",4.203
"89","Other.claims.on.IMF",0.989
"89","Claims.against.foreign.central.banks",0.259
"89","Coins",1.278
"89","Other.bills.of.exchange",27.348
"89","ERP.bills.of.exchange",8.767
"89","Claims.from.loans.ag.collateral",0.44
"89","Securities.from.OMOs",38.883
"89","Claims.ag.Bundesschatz",0.371
"89","Other.assets",19.458
