"period","item","value"
1950,"aktiva_ukupno",NA
1950,"aktiva_kratkoroc_svega",NA
1950,"aktiva_kratkoroc_zlato.deviz",NA
1950,"aktiva_kratkoroc_deviz.potraz.inostr",NA
1950,"aktiva_kratkoroc_deviz.potraz.domac",NA
1950,"aktiva_kratkoroc_deviz.potr.bnk.zemlji",NA
1950,"aktiva_kratkoroc_kred.komit",NA
1950,"aktiva_kratkoroc_kred.bnk_ukupno",NA
1950,"aktiva_kratkoroc_kred.bnk_reeskont",NA
1950,"aktiva_kratkoroc_kred.bnk_ostali",NA
1950,"aktiva_kratkoroc_ostala",NA
1950,"aktiva_dugoroc_svega",NA
1950,"aktiva_dugoroc_deviz.potraz.inostr",NA
1950,"aktiva_dugoroc_kred.komit",NA
1950,"aktiva_dugoroc_prim.sred.trajn.korisc_our",NA
1950,"aktiva_dugoroc_prim.sred.trajn.korisc_dpz",NA
1950,"aktiva_dugoroc_finans.udel.medjun.fin.org",NA
1950,"aktiva_dugoroc_kred.drustv.fond",NA
1950,"aktiva_dugoroc_plsm.stamb.kom.izgr",NA
1950,"aktiva_sred.bnk.kao.rad.org",NA
1950,"pasiva_ukupno",NA
1950,"pasiva_kratkoroc_svega",NA
1950,"pasiva_kratkoroc_deviz.obavez.inostr",NA
1950,"pasiva_kratkoroc_deviz.obavez.domac",NA
1950,"pasiva_kratkoroc_deviz.rac.bnk.zemlj",NA
1950,"pasiva_kratkoroc_got.nov.optic",NA
1950,"pasiva_kratkoroc_depoz.novac",NA
1950,"pasiva_kratkoroc_ost.dep.po.vidj",NA
1950,"pasiva_kratkoroc_ogran.depoz",NA
1950,"pasiva_kratkoroc_sred.obrac.platn.prom",NA
1950,"pasiva_kratkoroc_ostale",NA
1950,"pasiva_kratkoroc_depoz.bnk.nbj_ziro.rac",NA
1950,"pasiva_kratkoroc_depoz.bnk.nbj_rezerv.fnd",NA
1950,"pasiva_kratkoroc_depoz.bnk.nbj_obavez.rez",NA
1950,"pasiva_kratkoroc_depoz.bnk.nbj_ostala",NA
1950,"pasiva_dugoroc_svega",NA
1950,"pasiva_dugoroc_deviz.obavez.inostr",NA
1950,"pasiva_dugoroc_deviz.obavez.domaci",NA
1950,"pasiva_dugoroc_oroc.dep.preko.1g",NA
1950,"pasiva_dugoroc_kred.dpz",NA
1950,"pasiva_dugoroc_sred.stamb.komun.izgr",NA
1950,"pasiva_dugoroc_fnd.osniv.bnk",NA
1950,"pasiva_rezerv.fond",NA
1950,"pasiva_izv.sred.bnk.kao.rad.org",NA
1951,"aktiva_ukupno",NA
1951,"aktiva_kratkoroc_svega",NA
1951,"aktiva_kratkoroc_zlato.deviz",NA
1951,"aktiva_kratkoroc_deviz.potraz.inostr",NA
1951,"aktiva_kratkoroc_deviz.potraz.domac",NA
1951,"aktiva_kratkoroc_deviz.potr.bnk.zemlji",NA
1951,"aktiva_kratkoroc_kred.komit",NA
1951,"aktiva_kratkoroc_kred.bnk_ukupno",NA
1951,"aktiva_kratkoroc_kred.bnk_reeskont",NA
1951,"aktiva_kratkoroc_kred.bnk_ostali",NA
1951,"aktiva_kratkoroc_ostala",NA
1951,"aktiva_dugoroc_svega",NA
1951,"aktiva_dugoroc_deviz.potraz.inostr",NA
1951,"aktiva_dugoroc_kred.komit",NA
1951,"aktiva_dugoroc_prim.sred.trajn.korisc_our",NA
1951,"aktiva_dugoroc_prim.sred.trajn.korisc_dpz",NA
1951,"aktiva_dugoroc_finans.udel.medjun.fin.org",NA
1951,"aktiva_dugoroc_kred.drustv.fond",NA
1951,"aktiva_dugoroc_plsm.stamb.kom.izgr",NA
1951,"aktiva_sred.bnk.kao.rad.org",NA
1951,"pasiva_ukupno",NA
1951,"pasiva_kratkoroc_svega",NA
1951,"pasiva_kratkoroc_deviz.obavez.inostr",NA
1951,"pasiva_kratkoroc_deviz.obavez.domac",NA
1951,"pasiva_kratkoroc_deviz.rac.bnk.zemlj",NA
1951,"pasiva_kratkoroc_got.nov.optic",NA
1951,"pasiva_kratkoroc_depoz.novac",NA
1951,"pasiva_kratkoroc_ost.dep.po.vidj",NA
1951,"pasiva_kratkoroc_ogran.depoz",NA
1951,"pasiva_kratkoroc_sred.obrac.platn.prom",NA
1951,"pasiva_kratkoroc_ostale",NA
1951,"pasiva_kratkoroc_depoz.bnk.nbj_ziro.rac",NA
1951,"pasiva_kratkoroc_depoz.bnk.nbj_rezerv.fnd",NA
1951,"pasiva_kratkoroc_depoz.bnk.nbj_obavez.rez",NA
1951,"pasiva_kratkoroc_depoz.bnk.nbj_ostala",NA
1951,"pasiva_dugoroc_svega",NA
1951,"pasiva_dugoroc_deviz.obavez.inostr",NA
1951,"pasiva_dugoroc_deviz.obavez.domaci",NA
1951,"pasiva_dugoroc_oroc.dep.preko.1g",NA
1951,"pasiva_dugoroc_kred.dpz",NA
1951,"pasiva_dugoroc_sred.stamb.komun.izgr",NA
1951,"pasiva_dugoroc_fnd.osniv.bnk",NA
1951,"pasiva_rezerv.fond",NA
1951,"pasiva_izv.sred.bnk.kao.rad.org",NA
1952,"aktiva_ukupno",7650
1952,"aktiva_kratkoroc_svega",NA
1952,"aktiva_kratkoroc_zlato.deviz",NA
1952,"aktiva_kratkoroc_deviz.potraz.inostr",NA
1952,"aktiva_kratkoroc_deviz.potraz.domac",NA
1952,"aktiva_kratkoroc_deviz.potr.bnk.zemlji",NA
1952,"aktiva_kratkoroc_kred.komit",7140
1952,"aktiva_kratkoroc_kred.bnk_ukupno",NA
1952,"aktiva_kratkoroc_kred.bnk_reeskont",NA
1952,"aktiva_kratkoroc_kred.bnk_ostali",NA
1952,"aktiva_kratkoroc_ostala",NA
1952,"aktiva_dugoroc_svega",NA
1952,"aktiva_dugoroc_deviz.potraz.inostr",NA
1952,"aktiva_dugoroc_kred.komit",NA
1952,"aktiva_dugoroc_prim.sred.trajn.korisc_our",NA
1952,"aktiva_dugoroc_prim.sred.trajn.korisc_dpz",NA
1952,"aktiva_dugoroc_finans.udel.medjun.fin.org",NA
1952,"aktiva_dugoroc_kred.drustv.fond",NA
1952,"aktiva_dugoroc_plsm.stamb.kom.izgr",NA
1952,"aktiva_sred.bnk.kao.rad.org",NA
1952,"pasiva_ukupno",NA
1952,"pasiva_kratkoroc_svega",NA
1952,"pasiva_kratkoroc_deviz.obavez.inostr",NA
1952,"pasiva_kratkoroc_deviz.obavez.domac",NA
1952,"pasiva_kratkoroc_deviz.rac.bnk.zemlj",NA
1952,"pasiva_kratkoroc_got.nov.optic",NA
1952,"pasiva_kratkoroc_depoz.novac",NA
1952,"pasiva_kratkoroc_ost.dep.po.vidj",NA
1952,"pasiva_kratkoroc_ogran.depoz",NA
1952,"pasiva_kratkoroc_sred.obrac.platn.prom",NA
1952,"pasiva_kratkoroc_ostale",NA
1952,"pasiva_kratkoroc_depoz.bnk.nbj_ziro.rac",NA
1952,"pasiva_kratkoroc_depoz.bnk.nbj_rezerv.fnd",NA
1952,"pasiva_kratkoroc_depoz.bnk.nbj_obavez.rez",NA
1952,"pasiva_kratkoroc_depoz.bnk.nbj_ostala",NA
1952,"pasiva_dugoroc_svega",NA
1952,"pasiva_dugoroc_deviz.obavez.inostr",NA
1952,"pasiva_dugoroc_deviz.obavez.domaci",NA
1952,"pasiva_dugoroc_oroc.dep.preko.1g",NA
1952,"pasiva_dugoroc_kred.dpz",NA
1952,"pasiva_dugoroc_sred.stamb.komun.izgr",NA
1952,"pasiva_dugoroc_fnd.osniv.bnk",NA
1952,"pasiva_rezerv.fond",NA
1952,"pasiva_izv.sred.bnk.kao.rad.org",NA
1953,"aktiva_ukupno",8510
1953,"aktiva_kratkoroc_svega",NA
1953,"aktiva_kratkoroc_zlato.deviz",NA
1953,"aktiva_kratkoroc_deviz.potraz.inostr",NA
1953,"aktiva_kratkoroc_deviz.potraz.domac",NA
1953,"aktiva_kratkoroc_deviz.potr.bnk.zemlji",NA
1953,"aktiva_kratkoroc_kred.komit",7930
1953,"aktiva_kratkoroc_kred.bnk_ukupno",NA
1953,"aktiva_kratkoroc_kred.bnk_reeskont",NA
1953,"aktiva_kratkoroc_kred.bnk_ostali",NA
1953,"aktiva_kratkoroc_ostala",NA
1953,"aktiva_dugoroc_svega",NA
1953,"aktiva_dugoroc_deviz.potraz.inostr",NA
1953,"aktiva_dugoroc_kred.komit",NA
1953,"aktiva_dugoroc_prim.sred.trajn.korisc_our",NA
1953,"aktiva_dugoroc_prim.sred.trajn.korisc_dpz",NA
1953,"aktiva_dugoroc_finans.udel.medjun.fin.org",NA
1953,"aktiva_dugoroc_kred.drustv.fond",NA
1953,"aktiva_dugoroc_plsm.stamb.kom.izgr",NA
1953,"aktiva_sred.bnk.kao.rad.org",NA
1953,"pasiva_ukupno",NA
1953,"pasiva_kratkoroc_svega",NA
1953,"pasiva_kratkoroc_deviz.obavez.inostr",NA
1953,"pasiva_kratkoroc_deviz.obavez.domac",NA
1953,"pasiva_kratkoroc_deviz.rac.bnk.zemlj",NA
1953,"pasiva_kratkoroc_got.nov.optic",NA
1953,"pasiva_kratkoroc_depoz.novac",NA
1953,"pasiva_kratkoroc_ost.dep.po.vidj",NA
1953,"pasiva_kratkoroc_ogran.depoz",NA
1953,"pasiva_kratkoroc_sred.obrac.platn.prom",NA
1953,"pasiva_kratkoroc_ostale",NA
1953,"pasiva_kratkoroc_depoz.bnk.nbj_ziro.rac",NA
1953,"pasiva_kratkoroc_depoz.bnk.nbj_rezerv.fnd",NA
1953,"pasiva_kratkoroc_depoz.bnk.nbj_obavez.rez",NA
1953,"pasiva_kratkoroc_depoz.bnk.nbj_ostala",NA
1953,"pasiva_dugoroc_svega",NA
1953,"pasiva_dugoroc_deviz.obavez.inostr",NA
1953,"pasiva_dugoroc_deviz.obavez.domaci",NA
1953,"pasiva_dugoroc_oroc.dep.preko.1g",NA
1953,"pasiva_dugoroc_kred.dpz",NA
1953,"pasiva_dugoroc_sred.stamb.komun.izgr",NA
1953,"pasiva_dugoroc_fnd.osniv.bnk",NA
1953,"pasiva_rezerv.fond",NA
1953,"pasiva_izv.sred.bnk.kao.rad.org",NA
1954,"aktiva_ukupno",10290
1954,"aktiva_kratkoroc_svega",NA
1954,"aktiva_kratkoroc_zlato.deviz",NA
1954,"aktiva_kratkoroc_deviz.potraz.inostr",NA
1954,"aktiva_kratkoroc_deviz.potraz.domac",NA
1954,"aktiva_kratkoroc_deviz.potr.bnk.zemlji",NA
1954,"aktiva_kratkoroc_kred.komit",9710
1954,"aktiva_kratkoroc_kred.bnk_ukupno",NA
1954,"aktiva_kratkoroc_kred.bnk_reeskont",NA
1954,"aktiva_kratkoroc_kred.bnk_ostali",NA
1954,"aktiva_kratkoroc_ostala",NA
1954,"aktiva_dugoroc_svega",NA
1954,"aktiva_dugoroc_deviz.potraz.inostr",NA
1954,"aktiva_dugoroc_kred.komit",NA
1954,"aktiva_dugoroc_prim.sred.trajn.korisc_our",NA
1954,"aktiva_dugoroc_prim.sred.trajn.korisc_dpz",NA
1954,"aktiva_dugoroc_finans.udel.medjun.fin.org",NA
1954,"aktiva_dugoroc_kred.drustv.fond",NA
1954,"aktiva_dugoroc_plsm.stamb.kom.izgr",NA
1954,"aktiva_sred.bnk.kao.rad.org",NA
1954,"pasiva_ukupno",NA
1954,"pasiva_kratkoroc_svega",NA
1954,"pasiva_kratkoroc_deviz.obavez.inostr",NA
1954,"pasiva_kratkoroc_deviz.obavez.domac",NA
1954,"pasiva_kratkoroc_deviz.rac.bnk.zemlj",NA
1954,"pasiva_kratkoroc_got.nov.optic",NA
1954,"pasiva_kratkoroc_depoz.novac",NA
1954,"pasiva_kratkoroc_ost.dep.po.vidj",NA
1954,"pasiva_kratkoroc_ogran.depoz",NA
1954,"pasiva_kratkoroc_sred.obrac.platn.prom",NA
1954,"pasiva_kratkoroc_ostale",NA
1954,"pasiva_kratkoroc_depoz.bnk.nbj_ziro.rac",NA
1954,"pasiva_kratkoroc_depoz.bnk.nbj_rezerv.fnd",NA
1954,"pasiva_kratkoroc_depoz.bnk.nbj_obavez.rez",NA
1954,"pasiva_kratkoroc_depoz.bnk.nbj_ostala",NA
1954,"pasiva_dugoroc_svega",NA
1954,"pasiva_dugoroc_deviz.obavez.inostr",NA
1954,"pasiva_dugoroc_deviz.obavez.domaci",NA
1954,"pasiva_dugoroc_oroc.dep.preko.1g",NA
1954,"pasiva_dugoroc_kred.dpz",NA
1954,"pasiva_dugoroc_sred.stamb.komun.izgr",NA
1954,"pasiva_dugoroc_fnd.osniv.bnk",NA
1954,"pasiva_rezerv.fond",NA
1954,"pasiva_izv.sred.bnk.kao.rad.org",NA
1955,"aktiva_ukupno",11230
1955,"aktiva_kratkoroc_svega",NA
1955,"aktiva_kratkoroc_zlato.deviz",NA
1955,"aktiva_kratkoroc_deviz.potraz.inostr",NA
1955,"aktiva_kratkoroc_deviz.potraz.domac",NA
1955,"aktiva_kratkoroc_deviz.potr.bnk.zemlji",NA
1955,"aktiva_kratkoroc_kred.komit",10080
1955,"aktiva_kratkoroc_kred.bnk_ukupno",NA
1955,"aktiva_kratkoroc_kred.bnk_reeskont",NA
1955,"aktiva_kratkoroc_kred.bnk_ostali",NA
1955,"aktiva_kratkoroc_ostala",NA
1955,"aktiva_dugoroc_svega",NA
1955,"aktiva_dugoroc_deviz.potraz.inostr",NA
1955,"aktiva_dugoroc_kred.komit",NA
1955,"aktiva_dugoroc_prim.sred.trajn.korisc_our",NA
1955,"aktiva_dugoroc_prim.sred.trajn.korisc_dpz",NA
1955,"aktiva_dugoroc_finans.udel.medjun.fin.org",NA
1955,"aktiva_dugoroc_kred.drustv.fond",NA
1955,"aktiva_dugoroc_plsm.stamb.kom.izgr",NA
1955,"aktiva_sred.bnk.kao.rad.org",NA
1955,"pasiva_ukupno",NA
1955,"pasiva_kratkoroc_svega",NA
1955,"pasiva_kratkoroc_deviz.obavez.inostr",NA
1955,"pasiva_kratkoroc_deviz.obavez.domac",NA
1955,"pasiva_kratkoroc_deviz.rac.bnk.zemlj",NA
1955,"pasiva_kratkoroc_got.nov.optic",NA
1955,"pasiva_kratkoroc_depoz.novac",NA
1955,"pasiva_kratkoroc_ost.dep.po.vidj",NA
1955,"pasiva_kratkoroc_ogran.depoz",NA
1955,"pasiva_kratkoroc_sred.obrac.platn.prom",NA
1955,"pasiva_kratkoroc_ostale",NA
1955,"pasiva_kratkoroc_depoz.bnk.nbj_ziro.rac",NA
1955,"pasiva_kratkoroc_depoz.bnk.nbj_rezerv.fnd",NA
1955,"pasiva_kratkoroc_depoz.bnk.nbj_obavez.rez",NA
1955,"pasiva_kratkoroc_depoz.bnk.nbj_ostala",NA
1955,"pasiva_dugoroc_svega",NA
1955,"pasiva_dugoroc_deviz.obavez.inostr",NA
1955,"pasiva_dugoroc_deviz.obavez.domaci",NA
1955,"pasiva_dugoroc_oroc.dep.preko.1g",NA
1955,"pasiva_dugoroc_kred.dpz",NA
1955,"pasiva_dugoroc_sred.stamb.komun.izgr",NA
1955,"pasiva_dugoroc_fnd.osniv.bnk",NA
1955,"pasiva_rezerv.fond",NA
1955,"pasiva_izv.sred.bnk.kao.rad.org",NA
1956,"aktiva_ukupno",9650
1956,"aktiva_kratkoroc_svega",NA
1956,"aktiva_kratkoroc_zlato.deviz",NA
1956,"aktiva_kratkoroc_deviz.potraz.inostr",NA
1956,"aktiva_kratkoroc_deviz.potraz.domac",NA
1956,"aktiva_kratkoroc_deviz.potr.bnk.zemlji",NA
1956,"aktiva_kratkoroc_kred.komit",6680
1956,"aktiva_kratkoroc_kred.bnk_ukupno",NA
1956,"aktiva_kratkoroc_kred.bnk_reeskont",NA
1956,"aktiva_kratkoroc_kred.bnk_ostali",NA
1956,"aktiva_kratkoroc_ostala",NA
1956,"aktiva_dugoroc_svega",NA
1956,"aktiva_dugoroc_deviz.potraz.inostr",NA
1956,"aktiva_dugoroc_kred.komit",NA
1956,"aktiva_dugoroc_prim.sred.trajn.korisc_our",NA
1956,"aktiva_dugoroc_prim.sred.trajn.korisc_dpz",NA
1956,"aktiva_dugoroc_finans.udel.medjun.fin.org",NA
1956,"aktiva_dugoroc_kred.drustv.fond",NA
1956,"aktiva_dugoroc_plsm.stamb.kom.izgr",NA
1956,"aktiva_sred.bnk.kao.rad.org",NA
1956,"pasiva_ukupno",NA
1956,"pasiva_kratkoroc_svega",NA
1956,"pasiva_kratkoroc_deviz.obavez.inostr",NA
1956,"pasiva_kratkoroc_deviz.obavez.domac",NA
1956,"pasiva_kratkoroc_deviz.rac.bnk.zemlj",NA
1956,"pasiva_kratkoroc_got.nov.optic",NA
1956,"pasiva_kratkoroc_depoz.novac",NA
1956,"pasiva_kratkoroc_ost.dep.po.vidj",NA
1956,"pasiva_kratkoroc_ogran.depoz",NA
1956,"pasiva_kratkoroc_sred.obrac.platn.prom",NA
1956,"pasiva_kratkoroc_ostale",NA
1956,"pasiva_kratkoroc_depoz.bnk.nbj_ziro.rac",NA
