"period","item","value"
"80","Gold.and",36.4
"80","Claims.in.FX.from.non.residents",3.6
"80","Other.claims.in.FX",0.1
"80","Claims.in.FX.from.domestic.banks",0
"80","Short.term.loans.Komitetima",9.5
"80","Securities",7
"80","bnk",14.9
"80","bnk.1",85.7
"80","bnk.2",192.4
"80","bnk.3",5.8
"80","Claims.against.other.financial.institutions",6.6
"80","Other.claims",149.2
"80","Long.term.claims.in.FX.from.non.residents",9.3
"80","Long.term.claims.Komitetima",36.7
"80","our",28.9
"80","pol",64.2
"80","int.fin.orgs",11.6
"80","long.trem.claims.from.other.financial.institutions",2.5
"80","Other.long.trem.claims",0.3
"80","osn.sred",2.2
"81","Gold.and",61.4
"81","Claims.in.FX.from.non.residents",5.8
"81","Other.claims.in.FX",0.1
"81","Claims.in.FX.from.domestic.banks",0
"81","Short.term.loans.Komitetima",12.5
"81","Securities",13.4
"81","bnk",14.3
"81","bnk.1",151.7
"81","bnk.2",200.9
"81","bnk.3",4
"81","Claims.against.other.financial.institutions",10.1
"81","Other.claims",213.7
"81","Long.term.claims.in.FX.from.non.residents",10.8
"81","Long.term.claims.Komitetima",43.4
"81","our",28.9
"81","pol",64.2
"81","int.fin.orgs",12.7
"81","long.trem.claims.from.other.financial.institutions",2.4
"81","Other.long.trem.claims",0.4
"81","osn.sred",2.7
"82","Gold.and",42.1
"82","Claims.in.FX.from.non.residents",33.3
"82","Other.claims.in.FX",0.2
"82","Claims.in.FX.from.domestic.banks",0
"82","Short.term.loans.Komitetima",21.8
"82","Securities",6.7
"82","bnk",20.9
"82","bnk.1",221.1
"82","bnk.2",267.2
"82","bnk.3",0.7
"82","Claims.against.other.financial.institutions",19
"82","Other.claims",451.2
"82","Long.term.claims.in.FX.from.non.residents",12.5
"82","Long.term.claims.Komitetima",48.7
"82","our",28.8
"82","pol",64.2
"82","int.fin.orgs",21.8
"82","long.trem.claims.from.other.financial.institutions",2.4
"82","Other.long.trem.claims",0.4
"82","osn.sred",3.3
"83","Gold.and",114
"83","Claims.in.FX.from.non.residents",49.4
"83","Other.claims.in.FX",2.4
"83","Claims.in.FX.from.domestic.banks",10.1
"83","Short.term.loans.Komitetima",24.3
"83","Securities",3.7
"83","bnk",14.2
"83","bnk.1",308.7
"83","bnk.2",399.9
"83","bnk.3",2.1
"83","Claims.against.other.financial.institutions",25.4
"83","Other.claims",1090.2
"83","Long.term.claims.in.FX.from.non.residents",16.2
"83","Long.term.claims.Komitetima",59.4
"83","our",28.8
"83","pol",64.2
"83","int.fin.orgs",40.7
"83","long.trem.claims.from.other.financial.institutions",2.4
"83","Other.long.trem.claims",0.3
"83","osn.sred",4.1
"84","Gold.and",248.8
"84","Claims.in.FX.from.non.residents",65.8
"84","Other.claims.in.FX",2.4
"84","Claims.in.FX.from.domestic.banks",58.7
"84","Short.term.loans.Komitetima",29.5
"84","Securities",2.5
"84","bnk",24.2
"84","bnk.1",426.2
"84","bnk.2",610.1
"84","bnk.3",0
"84","Claims.against.other.financial.institutions",28.4
"84","Other.claims",1998.4
"84","Long.term.claims.in.FX.from.non.residents",18.4
"84","Long.term.claims.Komitetima",77.4
"84","our",28.8
"84","pol",64.2
"84","int.fin.orgs",65.5
"84","long.trem.claims.from.other.financial.institutions",2.4
"84","Other.long.trem.claims",0.3
"84","osn.sred",5.5
