"unit","nace_r2","na_item","geo","time","values"
"CLV15_MEUR","A","B1G","AT","1995",3350.2
"CLV15_MEUR","A","B1G","AT","1996",3295
"CLV15_MEUR","A","B1G","AT","1997",3416.7
"CLV15_MEUR","A","B1G","AT","1998",3560.9
"CLV15_MEUR","A","B1G","AT","1999",3775.5
"CLV15_MEUR","A","B1G","AT","2000",3566.8
"CLV15_MEUR","A","B1G","AT","2001",3593.1
"CLV15_MEUR","A","B1G","AT","2002",3529.8
"CLV15_MEUR","A","B1G","AT","2003",3380.9
"CLV15_MEUR","A","B1G","AT","2004",3722.5
"CLV15_MEUR","A","B1G","AT","2005",3670.5
"CLV15_MEUR","A","B1G","AT","2006",3614.5
"CLV15_MEUR","A","B1G","AT","2007",4014.3
"CLV15_MEUR","A","B1G","AT","2008",4314.2
"CLV15_MEUR","A","B1G","AT","2009",4011
"CLV15_MEUR","A","B1G","AT","2010",3770.1
"CLV15_MEUR","A","B1G","AT","2011",4348.7
"CLV15_MEUR","A","B1G","AT","2012",4062.1
"CLV15_MEUR","A","B1G","AT","2013",3781.9
"CLV15_MEUR","A","B1G","AT","2014",4084.1
"CLV15_MEUR","A","B1G","AT","2015",3912.2
"CLV15_MEUR","A","B1G","AT","2016",4116.4
"CLV15_MEUR","A","B1G","AT","2017",4073.6
"CLV15_MEUR","A","B1G","AT","2018",4189.7
"CLV15_MEUR","A","B1G","AT","2019",4129
"CLV15_MEUR","A","B1G","AT","2020",4002.3
"CLV15_MEUR","A","B1G","AT","2021",4237
"CLV15_MEUR","A","B1G","AT","2022",4379.9
"CLV15_MEUR","A","B1G","AT","2023",4166.6
"CLV15_MEUR","A","B1G","AT","2024",4258.9
"CLV15_MEUR","B","B1G","AT","1995",580.9
"CLV15_MEUR","B","B1G","AT","1996",668.7
"CLV15_MEUR","B","B1G","AT","1997",691.6
"CLV15_MEUR","B","B1G","AT","1998",708.7
"CLV15_MEUR","B","B1G","AT","1999",742.4
"CLV15_MEUR","B","B1G","AT","2000",703.6
"CLV15_MEUR","B","B1G","AT","2001",751.3
"CLV15_MEUR","B","B1G","AT","2002",786.2
"CLV15_MEUR","B","B1G","AT","2003",784.3
"CLV15_MEUR","B","B1G","AT","2004",1074.8
"CLV15_MEUR","B","B1G","AT","2005",1120.3
"CLV15_MEUR","B","B1G","AT","2006",1097.7
"CLV15_MEUR","B","B1G","AT","2007",1110.7
"CLV15_MEUR","B","B1G","AT","2008",1310.2
"CLV15_MEUR","B","B1G","AT","2009",1127.1
"CLV15_MEUR","B","B1G","AT","2010",1129.2
"CLV15_MEUR","B","B1G","AT","2011",1331.4
"CLV15_MEUR","B","B1G","AT","2012",1279
"CLV15_MEUR","B","B1G","AT","2013",1271.2
"CLV15_MEUR","B","B1G","AT","2014",1227.9
"CLV15_MEUR","B","B1G","AT","2015",1186.8
"CLV15_MEUR","B","B1G","AT","2016",1169.5
"CLV15_MEUR","B","B1G","AT","2017",1271.9
"CLV15_MEUR","B","B1G","AT","2018",1171.6
"CLV15_MEUR","B","B1G","AT","2019",1071.5
"CLV15_MEUR","B","B1G","AT","2020",812
"CLV15_MEUR","B","B1G","AT","2021",944.8
"CLV15_MEUR","B","B1G","AT","2022",886.9
"CLV15_MEUR","B","B1G","AT","2023",737.9
"CLV15_MEUR","B","B1G","AT","2024",810.7
"CLV15_MEUR","C","B1G","AT","1995",36617.4
"CLV15_MEUR","C","B1G","AT","1996",36950.6
"CLV15_MEUR","C","B1G","AT","1997",37928
"CLV15_MEUR","C","B1G","AT","1998",39076.9
"CLV15_MEUR","C","B1G","AT","1999",41005.7
"CLV15_MEUR","C","B1G","AT","2000",43500.5
"CLV15_MEUR","C","B1G","AT","2001",44817.8
"CLV15_MEUR","C","B1G","AT","2002",44231.1
"CLV15_MEUR","C","B1G","AT","2003",44484.1
"CLV15_MEUR","C","B1G","AT","2004",45715.9
"CLV15_MEUR","C","B1G","AT","2005",47817.2
"CLV15_MEUR","C","B1G","AT","2006",51630.5
"CLV15_MEUR","C","B1G","AT","2007",55504
"CLV15_MEUR","C","B1G","AT","2008",56282.7
"CLV15_MEUR","C","B1G","AT","2009",48276.6
"CLV15_MEUR","C","B1G","AT","2010",52234.6
"CLV15_MEUR","C","B1G","AT","2011",55941.3
"CLV15_MEUR","C","B1G","AT","2012",57088.1
"CLV15_MEUR","C","B1G","AT","2013",57298.6
"CLV15_MEUR","C","B1G","AT","2014",58572.5
"CLV15_MEUR","C","B1G","AT","2015",58985.2
"CLV15_MEUR","C","B1G","AT","2016",61823.8
"CLV15_MEUR","C","B1G","AT","2017",63744.7
"CLV15_MEUR","C","B1G","AT","2018",66202.1
"CLV15_MEUR","C","B1G","AT","2019",66950.6
"CLV15_MEUR","C","B1G","AT","2020",61910.7
"CLV15_MEUR","C","B1G","AT","2021",68477.6
"CLV15_MEUR","C","B1G","AT","2022",74194.3
"CLV15_MEUR","C","B1G","AT","2023",71740
"CLV15_MEUR","C","B1G","AT","2024",67700.1
"CLV15_MEUR","D","B1G","AT","1995",5074.6
"CLV15_MEUR","D","B1G","AT","1996",5290.4
"CLV15_MEUR","D","B1G","AT","1997",5719.1
"CLV15_MEUR","D","B1G","AT","1998",5970.9
"CLV15_MEUR","D","B1G","AT","1999",6290.9
"CLV15_MEUR","D","B1G","AT","2000",6327.6
"CLV15_MEUR","D","B1G","AT","2001",7123.7
"CLV15_MEUR","D","B1G","AT","2002",7106.9
"CLV15_MEUR","D","B1G","AT","2003",7361.1
"CLV15_MEUR","D","B1G","AT","2004",8050.3
"CLV15_MEUR","D","B1G","AT","2005",7952.2
"CLV15_MEUR","D","B1G","AT","2006",7426.7
"CLV15_MEUR","D","B1G","AT","2007",6573
"CLV15_MEUR","D","B1G","AT","2008",6184.7
"CLV15_MEUR","D","B1G","AT","2009",6586.5
"CLV15_MEUR","D","B1G","AT","2010",6225.2
"CLV15_MEUR","D","B1G","AT","2011",5903.1
"CLV15_MEUR","D","B1G","AT","2012",5744.7
"CLV15_MEUR","D","B1G","AT","2013",6026.4
"CLV15_MEUR","D","B1G","AT","2014",5327.8
"CLV15_MEUR","D","B1G","AT","2015",5123.1
"CLV15_MEUR","D","B1G","AT","2016",5165.1
"CLV15_MEUR","D","B1G","AT","2017",5537.1
"CLV15_MEUR","D","B1G","AT","2018",5750.9
"CLV15_MEUR","D","B1G","AT","2019",5743.2
"CLV15_MEUR","D","B1G","AT","2020",5742.9
"CLV15_MEUR","D","B1G","AT","2021",6151.1
"CLV15_MEUR","D","B1G","AT","2022",7405.5
"CLV15_MEUR","D","B1G","AT","2023",7716.8
"CLV15_MEUR","D","B1G","AT","2024",7378.2
"CLV15_MEUR","E","B1G","AT","1995",3249.7
"CLV15_MEUR","E","B1G","AT","1996",3195
"CLV15_MEUR","E","B1G","AT","1997",3100.7
"CLV15_MEUR","E","B1G","AT","1998",3011.5
"CLV15_MEUR","E","B1G","AT","1999",2815.7
"CLV15_MEUR","E","B1G","AT","2000",3018.2
"CLV15_MEUR","E","B1G","AT","2001",2921.7
"CLV15_MEUR","E","B1G","AT","2002",2943.9
"CLV15_MEUR","E","B1G","AT","2003",2988.8
"CLV15_MEUR","E","B1G","AT","2004",3110.1
"CLV15_MEUR","E","B1G","AT","2005",2954.9
"CLV15_MEUR","E","B1G","AT","2006",2859.5
"CLV15_MEUR","E","B1G","AT","2007",2851.2
"CLV15_MEUR","E","B1G","AT","2008",2695.9
"CLV15_MEUR","E","B1G","AT","2009",2683.1
"CLV15_MEUR","E","B1G","AT","2010",2735.6
"CLV15_MEUR","E","B1G","AT","2011",2607.2
"CLV15_MEUR","E","B1G","AT","2012",2770.5
"CLV15_MEUR","E","B1G","AT","2013",2905.7
"CLV15_MEUR","E","B1G","AT","2014",3013.3
