"unit","direct","na_item","sector","geo","time","values","item"
"CP_MEUR","PAID","B9","S13","AT","1995",11332,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","1996",8504,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","1997",4902,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","1998",5341,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","1999",5344,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2000",5111,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2001",1563,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2002",3208,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2003",4239,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2004",11886,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2005",6532,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2006",6937,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2007",3865,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2008",4587,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2009",15404,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2010",13128,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2011",7648,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2012",6892,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2013",6400,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2014",6350,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2015",1632,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2016",5162,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2017",2849,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2018",-748,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2019",-2123,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2020",31203,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2021",23129,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2022",14814,"PAID_B9"
"CP_MEUR","PAID","B9","S13","AT","2023",12398,"PAID_B9"
"CP_MEUR","PAID","D3","S13","AT","1995",-4726,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","1996",-4302,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","1997",-4049,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","1998",-4657,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","1999",-4531,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2000",-4454,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2001",-4283,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2002",-4234,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2003",-4682,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2004",-4563,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2005",-4012,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2006",-4183,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2007",-4150,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2008",-4446,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2009",-4466,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2010",-4361,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2011",-4295,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2012",-4695,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2013",-4640,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2014",-4940,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2015",-4957,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2016",-5471,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2017",-5760,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2018",-6303,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2019",-6410,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2020",-19912,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2021",-18686,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2022",-11545,"PAID_D3"
"CP_MEUR","PAID","D3","S13","AT","2023",-10966,"PAID_D3"
"CP_MEUR","PAID","D41","S13","AT","1995",-7380,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","1996",-7361,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","1997",-6747,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","1998",-6975,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","1999",-7016,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2000",-7611,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2001",-7965,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2002",-7827,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2003",-7392,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2004",-7344,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2005",-8243,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2006",-8437,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2007",-8988,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2008",-8684,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2009",-9190,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2010",-8714,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2011",-8761,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2012",-8822,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2013",-8534,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2014",-8138,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2015",-8045,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2016",-7455,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2017",-6786,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2018",-6259,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2019",-5663,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2020",-5135,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2021",-4489,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2022",-4258,"PAID_D41"
"CP_MEUR","PAID","D41","S13","AT","2023",-5694,"PAID_D41"
"CP_MEUR","PAID","D42","S13","AT","1995",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","1996",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","1997",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","1998",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","1999",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2000",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2001",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2002",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2003",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2004",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2005",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2006",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2007",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2008",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2009",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2010",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2011",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2012",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2013",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2014",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2015",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2016",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2017",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2018",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2019",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2020",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2021",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2022",0,"PAID_D42"
"CP_MEUR","PAID","D42","S13","AT","2023",0,"PAID_D42"
"CP_MEUR","PAID","D45","S13","AT","1995",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","1996",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","1997",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","1998",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","1999",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2000",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2001",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2002",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2003",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2004",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2005",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2006",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2007",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2008",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2009",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2010",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2011",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2012",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2013",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2014",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2015",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2016",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2017",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2018",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2019",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2020",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2021",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2022",0,"PAID_D45"
"CP_MEUR","PAID","D45","S13","AT","2023",0,"PAID_D45"
"CP_MEUR","PAID","D5","S13","AT","1995",-6,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","1996",-17,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","1997",-19,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","1998",-25,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","1999",-43,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2000",-25,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2001",-36,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2002",-20,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2003",-16,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2004",-11,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2005",-51,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2006",-46,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2007",-47,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2008",-19,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2009",-42,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2010",-57,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2011",-39,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2012",-40,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2013",-127,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2014",-129,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2015",-171,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2016",-31,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2017",-79,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2018",-96,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2019",-140,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2020",-178,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2021",-147,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2022",-163,"PAID_D5"
"CP_MEUR","PAID","D5","S13","AT","2023",-128,"PAID_D5"
"CP_MEUR","PAID","D62","S13","AT","1995",-36683,"PAID_D62"
"CP_MEUR","PAID","D62","S13","AT","1996",-37055,"PAID_D62"
"CP_MEUR","PAID","D62","S13","AT","1997",-36043,"PAID_D62"
"CP_MEUR","PAID","D62","S13","AT","1998",-36656,"PAID_D62"
"CP_MEUR","PAID","D62","S13","AT","1999",-38430,"PAID_D62"
"CP_MEUR","PAID","D62","S13","AT","2000",-39877,"PAID_D62"
"CP_MEUR","PAID","D62","S13","AT","2001",-40825,"PAID_D62"
"CP_MEUR","PAID","D62","S13","AT","2002",-42514,"PAID_D62"
"CP_MEUR","PAID","D62","S13","AT","2003",-44133,"PAID_D62"
"CP_MEUR","PAID","D62","S13","AT","2004",-45350,"PAID_D62"
"CP_MEUR","PAID","D62","S13","AT","2005",-46485,"PAID_D62"
"CP_MEUR","PAID","D62","S13","AT","2006",-48017,"PAID_D62"
"CP_MEUR","PAID","D62","S13","AT","2007",-49244,"PAID_D62"
"CP_MEUR","PAID","D62","S13","AT","2008",-51510,"PAID_D62"
"CP_MEUR","PAID","D62","S13","AT","2009",-54684,"PAID_D62"
"CP_MEUR","PAID","D62","S13","AT","2010",-56578,"PAID_D62"
"CP_MEUR","PAID","D62","S13","AT","2011",-57203,"PAID_D62"
