"unit","direct","na_item","sector","geo","time","values","pcntgdp"
"CP_MEUR","RECV","B9","S11","AT","1995",-5250,-2.85902553518235
"CP_MEUR","RECV","B9","S11","AT","1996",-7288,-3.91943854365538
"CP_MEUR","RECV","B9","S11","AT","1997",-7851,-4.20034989540588
"CP_MEUR","RECV","B9","S11","AT","1998",-6783,-3.49734721341397
"CP_MEUR","RECV","B9","S11","AT","1999",-8314,-4.09425553394233
"CP_MEUR","RECV","B9","S11","AT","2000",-8668,-4.08084479325069
"CP_MEUR","RECV","B9","S11","AT","2001",-9053,-4.12676126961841
"CP_MEUR","RECV","B9","S11","AT","2002",-1682,-0.747263292578902
"CP_MEUR","RECV","B9","S11","AT","2003",-3069,-1.33121079889998
"CP_MEUR","RECV","B9","S11","AT","2004",4922,2.0462123038804
"CP_MEUR","RECV","B9","S11","AT","2005",-2972,-1.17770600939153
"CP_MEUR","RECV","B9","S11","AT","2006",-1850,-0.695661329502809
"CP_MEUR","RECV","B9","S11","AT","2007",-6190,-2.19341762104547
"CP_MEUR","RECV","B9","S11","AT","2008",-4563,-1.56349581628667
"CP_MEUR","RECV","B9","S11","AT","2009",1582,0.552617422469383
"CP_MEUR","RECV","B9","S11","AT","2010",6551,2.2278448296384
"CP_MEUR","RECV","B9","S11","AT","2011",2337,0.758355047750084
"CP_MEUR","RECV","B9","S11","AT","2012",-3960,-1.25083309906535
"CP_MEUR","RECV","B9","S11","AT","2013",-549,-0.170925801389823
"CP_MEUR","RECV","B9","S11","AT","2014",-1948,-0.59009917785977
"CP_MEUR","RECV","B9","S11","AT","2015",-2901,-0.848037324165994
"CP_MEUR","RECV","B9","S11","AT","2016",4223,1.18734992942817
"CP_MEUR","RECV","B9","S11","AT","2017",-1872,-0.509672061966539
"CP_MEUR","RECV","B9","S11","AT","2018",-7451,-1.94424294295391
"CP_MEUR","RECV","B9","S11","AT","2019",-3839,-0.970162266525485
"CP_MEUR","RECV","B9","S11","AT","2020",18779,4.93771002161349
"CP_MEUR","RECV","B9","S11","AT","2021",8820,2.17117312274759
"CP_MEUR","RECV","B9","S11","AT","2022",-4011,-0.895296512562276
"CP_MEUR","RECV","B9","S11","AT","2023",-693,-0.14644134844377
"CP_MEUR","RECV","B9","S12","AT","1995",2640,1.43768141197741
"CP_MEUR","RECV","B9","S12","AT","1996",2073,1.11484578773293
"CP_MEUR","RECV","B9","S12","AT","1997",1336,0.714771043212618
"CP_MEUR","RECV","B9","S12","AT","1998",569,0.293379119037675
"CP_MEUR","RECV","B9","S12","AT","1999",-1704,-0.839140176790683
"CP_MEUR","RECV","B9","S12","AT","2000",-1054,-0.496217167984106
"CP_MEUR","RECV","B9","S12","AT","2001",545,0.248435313370378
"CP_MEUR","RECV","B9","S12","AT","2002",-292,-0.129727040090987
"CP_MEUR","RECV","B9","S12","AT","2003",-300,-0.130128132834798
"CP_MEUR","RECV","B9","S12","AT","2004",1117,0.464367969003334
"CP_MEUR","RECV","B9","S12","AT","2005",1469,0.5821164629193
"CP_MEUR","RECV","B9","S12","AT","2006",839,0.315491813758301
"CP_MEUR","RECV","B9","S12","AT","2007",2496,0.884454019730128
"CP_MEUR","RECV","B9","S12","AT","2008",4371,1.49770769515429
"CP_MEUR","RECV","B9","S12","AT","2009",5446,1.90237325080168
"CP_MEUR","RECV","B9","S12","AT","2010",4860,1.65277451870594
"CP_MEUR","RECV","B9","S12","AT","2011",4303,1.39632082604562
"CP_MEUR","RECV","B9","S12","AT","2012",6044,1.9090998107957
"CP_MEUR","RECV","B9","S12","AT","2013",6875,2.14046427059204
"CP_MEUR","RECV","B9","S12","AT","2014",8217,2.48914011523292
"CP_MEUR","RECV","B9","S12","AT","2015",3396,0.99273862560073
